正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
108.0,1964,15.0,106.4353,5月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,4065.0,2332.7804,1038161.793,1729.8805,757858108.8748
108.0,1964,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,5291.7,2332.7804,1038161.793,2956.5805,757858108.8748
108.0,1964,15.0,106.4353,7月,汛限线附近-满发,1004.7046,105.3169,321.7512,87.6,1989.7,2672.6534,1032302.0595,0.0,753580503.4347
108.0,1964,15.0,106.4353,8月,低于防破坏线-保证出力,321.7512,87.6,1004.7046,105.3169,2066.0,652.3648,266742.3935,728.3427,194721947.2877
108.0,1964,15.0,106.4353,9月,优化区-枚举月末库容,1004.7046,105.3169,389.2034,90.6032,1231.0,1846.5012,743266.0378,0.0,542584207.5627
108.0,1964,15.0,106.4353,10月,低于防破坏线-保证出力,389.2034,90.6032,844.5056,102.4847,1154.0,698.8004,276737.775,0.0,202018575.75
108.0,1964,15.0,106.4353,11月,低于防破坏线-保证出力,844.5056,102.4847,1156.472,108.0,920.0,595.8453,276737.775,12.1883,202018575.75
108.0,1964,15.0,106.4353,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,515.7,515.7,252377.6957,0.0,184235717.8835
108.0,1964,15.0,106.4353,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,538.0,538.0,263029.5795,0.0,192011593.0256
108.0,1964,15.0,106.4353,2月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,557.5,557.5,272359.6562,0.0,198822549.0625
108.0,1964,15.0,106.4353,3月,优化区-枚举月末库容,1156.472,108.0,777.0535,101.2922,1050.0,1429.4185,640647.9922,0.0,467673034.2856
108.0,1965,15.0,106.4353,4月,汛限线附近-满发,777.0535,101.2922,827.6426,102.1866,2631.0,2584.026,1064353.0,0.0,776977690.0
108.0,1965,15.0,106.4353,5月,汛限线附近-满发,827.6426,102.1866,1004.7046,105.3169,4338.3,2406.5025,1037334.0801,1752.3964,757253878.4584
